Date,Open,High,Low,Close,Adj Close,Volume
1985-01-01,3.875000,4.312500,3.625000,4.171875,1.717281,53280000
1985-02-01,4.171875,4.328125,3.890625,4.109375,1.698783,30292800
1985-03-01,4.109375,4.140625,3.625000,3.984375,1.647108,31442400
1985-04-01,4.015625,4.171875,3.750000,3.953125,1.634189,34289600
1985-05-01,3.953125,4.421875,3.843750,4.328125,1.796173,41708000
1985-06-01,4.343750,4.500000,4.093750,4.140625,1.718359,35645600
1985-07-01,4.140625,4.781250,4.140625,4.609375,1.912893,56462400
1985-08-01,4.671875,4.734375,4.437500,4.500000,1.873918,27832800
1985-09-01,4.500000,4.625000,4.125000,4.421875,1.841385,23442400
1985-10-01,4.421875,4.703125,4.296875,4.437500,1.847893,33305600
1985-11-01,4.437500,5.015625,4.406250,4.984375,2.082710,58203200
1985-12-01,4.984375,5.390625,4.921875,5.250000,2.193700,57267200
1986-01-01,5.250000,5.875000,4.906250,5.718750,2.389567,54699200
1986-02-01,5.718750,6.390625,5.609375,6.343750,2.658802,71880000
1986-03-01,6.343750,6.703125,6.250000,6.578125,2.757033,62248000
1986-04-01,6.578125,6.921875,5.937500,6.625000,2.776680,62166400
1986-05-01,6.625000,6.890625,6.203125,6.781250,2.849346,53789600
1986-06-01,6.750000,6.750000,6.109375,6.218750,2.612995,41998400
1986-07-01,6.218750,6.609375,5.125000,5.578125,2.343817,83871200
1986-08-01,5.578125,6.296875,5.531250,6.234375,2.626583,44971200
1986-09-01,6.250000,6.421875,4.640625,4.734375,1.994623,89584000
1986-10-01,4.734375,4.984375,4.578125,4.984375,2.099949,68347200
1986-11-01,4.984375,5.062500,4.640625,4.953125,2.093762,54120000
1986-12-01,4.953125,5.218750,4.765625,5.015625,2.120182,43416000
1987-01-01,5.015625,5.687500,4.984375,5.437500,2.298516,63160800
1987-02-01,5.437500,6.140625,5.406250,5.734375,2.431247,54317600
1987-03-01,5.734375,6.171875,5.578125,6.031250,2.557116,63999200
1987-04-01,6.031250,6.546875,5.609375,6.015625,2.550490,62464000
1987-05-01,6.015625,7.156250,6.000000,6.484375,2.756444,84152000
1987-06-01,6.531250,7.000000,6.484375,6.687500,2.842790,45974400
1987-07-01,6.687500,8.234375,6.390625,8.109375,3.447215,96547200
1987-08-01,8.109375,8.390625,7.687500,7.734375,3.294686,77768000
1987-09-01,7.734375,9.343750,7.531250,9.187500,3.913685,97336000
1987-10-01,9.187500,9.234375,5.187500,6.218750,2.649060,132986400
1987-11-01,6.218750,7.656250,6.187500,7.093750,3.029253,95615200
1987-12-01,7.093750,8.125000,6.625000,7.750000,3.309493,76766400
1988-01-01,7.750000,8.265625,6.984375,7.281250,3.109323,85647200
1988-02-01,7.296875,8.125000,7.156250,8.125000,3.480432,56643200
1988-03-01,8.125000,8.453125,7.609375,7.796875,3.339876,58980000
1988-04-01,7.796875,8.562500,7.593750,7.843750,3.359955,51712000
1988-05-01,7.812500,7.968750,7.296875,7.750000,3.329820,48728000
1988-06-01,7.796875,8.562500,7.796875,8.468750,3.638633,61189600
1988-07-01,8.468750,8.468750,7.578125,7.781250,3.343245,48480000
1988-08-01,7.796875,7.921875,6.765625,6.953125,2.996281,65600000
1988-09-01,6.937500,7.265625,6.734375,7.187500,3.097281,51588800
1988-10-01,7.187500,8.015625,7.125000,7.718750,3.326209,61856000
1988-11-01,7.718750,8.093750,7.437500,7.921875,3.424771,40532000
1988-12-01,7.921875,8.046875,7.640625,7.953125,3.438280,40292800
1989-01-01,7.953125,8.625000,7.375000,7.734375,3.343710,160438400
1989-02-01,7.734375,7.734375,7.328125,7.343750,3.189036,69296800
1989-03-01,7.343750,7.359375,7.015625,7.140625,3.100829,69460800
1989-04-01,7.140625,7.640625,7.125000,7.562500,3.284028,58979200
1989-05-01,7.562500,8.078125,7.296875,7.984375,3.485022,64256800
